url,use_proxy,use_playwright,bypass_cf
https://www.immigrantstable.com,TRUE,FALSE,
https://www.indiansimmer.com,TRUE,FALSE,
https://www.inhabitedkitchen.com,TRUE,FALSE,
https://www.insightvacations.com,TRUE,FALSE,
https://www.isabeleats.com,TRUE,TRUE,
https://www.iwashyoudry.com,TRUE,FALSE,
https://www.jennasuedesign.com,TRUE,TRUE,
https://www.jessicagavin.com,TRUE,FALSE,
https://www.joyoushealth.com,TRUE,FALSE,
https://www.joythebaker.com,FALSE,FALSE,TRUE
https://www.kannammacooks.com,TRUE,FALSE,
https://www.kaveyeats.com,TRUE,FALSE,
https://www.kitchenfrau.com,TRUE,FALSE,
https://www.kitchensanctuary.com,TRUE,TRUE,
https://www.dishingupthedirt.com,TRUE,FALSE,
https://www.thefigtreeblog.com,TRUE,FALSE,
https://www.heatherchristo.com,TRUE,FALSE,
https://www.forkandbeans.com,TRUE,FALSE,
https://www.godairyfree.org,TRUE,FALSE,
https://angelaskitchen.com,TRUE,FALSE,
https://milkfreemom.com,TRUE,FALSE,
https://laurenconrad.com,TRUE,FALSE,
https://latinofoodie.com,TRUE,FALSE,
